,PLAYER_NAME,PLAYER_ID,cluster,cluster_name
55,Cam Reddish,1629629,1,Floor Spacers
56,Cam Thomas,1630560,11,Elite Scoring Guards
57,Cam Whitmore,1641715,10,Stretch Bigs
58,Cameron Johnson,1629661,0,3-and-D Wings
59,Cameron Payne,1626166,6,Backup PGs
60,Caris LeVert,1627747,3,Secondary Scoring Guards
61,Cason Wallace,1641717,1,Floor Spacers
62,Cedi Osman,1626224,1,Floor Spacers
63,Chet Holmgren,1631096,4,Athletic Forwards
64,Chimezie Metu,1629002,10,Stretch Bigs
65,Chris Boucher,1628449,10,Stretch Bigs
66,Chris Duarte,1630537,1,Floor Spacers
67,Chris Livingston,1641753,5,Role Players
68,Chris Paul,101108,6,Backup PGs
69,Christian Braun,1631128,1,Floor Spacers
70,Christian Wood,1626174,10,Stretch Bigs
71,Chuma Okeke,1629643,1,Floor Spacers
72,Clint Capela,203991,2,Rim Runners
73,Coby White,1629632,3,Secondary Scoring Guards
74,Cody Martin,1628998,6,Backup PGs
75,Cody Zeller,203469,9,Backup Bigs
76,Colby Jones,1641732,5,Role Players
77,Cole Anthony,1630175,3,Secondary Scoring Guards
78,Collin Gillespie,1631221,6,Backup PGs
79,Collin Sexton,1629012,11,Elite Scoring Guards
80,Corey Kispert,1630557,0,3-and-D Wings
81,Cory Joseph,202709,5,Role Players
82,Craig Porter Jr.,1641854,6,Backup PGs
83,D'Angelo Russell,1626156,3,Secondary Scoring Guards
84,Dalano Banton,1630625,10,Stretch Bigs
85,Dalen Terry,1631207,10,Stretch Bigs
86,Damian Jones,1627745,9,Backup Bigs
87,Damian Lillard,203081,11,Elite Scoring Guards
88,Daniel Gafford,1629655,2,Rim Runners
89,Daniel Theis,1628464,9,Backup Bigs
90,Danilo Gallinari,201568,10,Stretch Bigs
91,Dante Exum,203957,6,Backup PGs
92,Danuel House Jr.,1627863,1,Floor Spacers
93,Dario Saric,203967,10,Stretch Bigs
94,Darius Garland,1629636,3,Secondary Scoring Guards
95,David Roddy,1631223,1,Floor Spacers
96,Davion Mitchell,1630558,6,Backup PGs
97,Davis Bertans,202722,1,Floor Spacers
98,Day'Ron Sharpe,1630549,2,Rim Runners
99,De'Aaron Fox,1628368,11,Elite Scoring Guards
100,De'Andre Hunter,1629631,0,3-and-D Wings
101,De'Anthony Melton,1629001,6,Backup PGs
102,DeAndre Jordan,201599,9,Backup Bigs
103,DeMar DeRozan,201942,11,Elite Scoring Guards
104,Dean Wade,1629731,1,Floor Spacers
105,Deandre Ayton,1629028,2,Rim Runners
106,Dejounte Murray,1627749,3,Secondary Scoring Guards
107,Delon Wright,1626153,6,Backup PGs
108,Deni Avdija,1630166,4,Athletic Forwards
109,Dennis Schröder,203471,3,Secondary Scoring Guards
110,Dennis Smith Jr.,1628372,6,Backup PGs
111,Dereck Lively II,1641726,2,Rim Runners
112,Derrick Jones Jr.,1627884,0,3-and-D Wings
113,Derrick Rose,201565,6,Backup PGs
114,Derrick White,1628401,3,Secondary Scoring Guards
115,Desmond Bane,1630217,3,Secondary Scoring Guards
116,Devin Booker,1626164,11,Elite Scoring Guards
117,Devin Vassell,1630170,3,Secondary Scoring Guards
118,Devonte' Graham,1628984,6,Backup PGs
119,Dillon Brooks,1628415,0,3-and-D Wings
120,Domantas Sabonis,1627734,7,Elite Offensive Bigs
121,Dominick Barlow,1631230,9,Backup Bigs
122,Donovan Mitchell,1628378,11,Elite Scoring Guards
123,Donte DiVincenzo,1628978,0,3-and-D Wings
124,Dorian Finney-Smith,1627827,1,Floor Spacers
125,Doug McDermott,203926,1,Floor Spacers
126,Draymond Green,203110,4,Athletic Forwards
127,Drew Eubanks,1629234,9,Backup Bigs
128,Duncan Robinson,1629130,0,3-and-D Wings
129,Duop Reath,1641871,10,Stretch Bigs
130,Dwight Powell,203939,9,Backup Bigs
131,Dyson Daniels,1630700,1,Floor Spacers
132,Eric Gordon,201569,0,3-and-D Wings
133,Eugene Omoruyi,1630647,10,Stretch Bigs
134,Evan Fournier,203095,1,Floor Spacers
135,Evan Mobley,1630596,2,Rim Runners
136,Franz Wagner,1630532,8,Versatile Wings
137,Fred VanVleet,1627832,3,Secondary Scoring Guards
138,Furkan Korkmaz,1627788,1,Floor Spacers
139,GG Jackson,1641713,0,3-and-D Wings
140,Garrett Temple,202066,5,Role Players
141,Garrison Mathews,1629726,1,Floor Spacers
142,Gary Harris,203914,1,Floor Spacers
143,Gary Payton II,1627780,1,Floor Spacers
144,Gary Trent Jr.,1629018,0,3-and-D Wings
145,Georges Niang,1627777,0,3-and-D Wings
146,Giannis Antetokounmpo,203507,7,Elite Offensive Bigs
